"";"Ubicac.técnica";"Equipo";"Tipo.de.equipo";"Equipo.superior";"Eq.padre";"Sistema";"Comp"
"188";"1001-SUP-ELIV-CAMI-CAM0012";300000174;"V";"0";"300000174";"0";"0"
"189";"1001-SUP-ELIV-CAMI-CAM0013";300000175;"V";"0";"300000175";"0";"0"
"190";"1001-SUP-EAUS-MONT";300000176;"V";"0";"300000176";"0";"0"
"191";"1101-GTE-GENE-GENL-GEN003A";300000177;"V";"0";"300000177";"0";"0"
"192";"1101-GTE-GENE-GENL-GEN003B";300000178;"V";"0";"300000178";"0";"0"
"193";"1101-GTE-GENE-GENL-GEN0007";300000179;"V";"0";"300000179";"0";"0"
"194";"1101-GTE-GENE-GENL-GEN0008";300000180;"V";"0";"300000180";"0";"0"
"195";"1101-GTE-GENE-GENL-GEN0009";300000181;"V";"0";"300000181";"0";"0"
"196";"1003-MI1-EPER-JUMB-JUM2107";300000182;"V";"0";"300000182";"0";"0"
"197";"1003-MI1-EPER-JUMB-JUM2108";300000183;"V";"0";"300000183";"0";"0"
"198";"1003-SUP-EAUS-CAFR-CAR3104";300000184;"V";"0";"300000184";"0";"0"
"199";"1003-SUP-EAUS-MINI-MIN3101";300000185;"V";"0";"300000185";"0";"0"
"200";"1003-SUP-EAUS-MINI-MIN3102";300000186;"V";"0";"300000186";"0";"0"
"201";"";300000187;"V";"0";"300000187";"0";"0"
"202";"8001-PL1-SAUP-EQUI-CAR0001";300000188;"V";"0";"300000188";"0";"0"
"203";"1005-MI1-EPER-EPTL-JUM0004";300000189;"V";"0";"300000189";"0";"0"
"204";"2101-SUP-EAPL-CAFR";300000190;"V";"0";"300000190";"0";"0"
"205";"1003-SUP-TMAN-TA02-EQUEREP";300000191;"V";"0";"300000191";"0";"0"
"206";"2101-SUP-EAPL-MONT";300000192;"V";"0";"300000192";"0";"0"
"207";"1101-PL1-EAPL-CAGR-CGR0001";300000193;"V";"0";"300000193";"0";"0"
"208";"1101-PL1-EAPL-CAGR-CGR0002";300000194;"V";"0";"300000194";"0";"0"
"209";"2101-SUP-EAPL-CAFR";300000195;"V";"0";"300000195";"0";"0"
"210";"2101-SUP-EAPL-CAFR";300000196;"V";"0";"300000196";"0";"0"
"211";"2101-SUP-EAPL-MONT";300000197;"V";"0";"300000197";"0";"0"
"212";"1005-SUP-EAUS-CAGR-CGR0003";300000198;"V";"0";"300000198";"0";"0"
"213";"2101-SUP-EAPL-MONT";300000199;"V";"0";"300000199";"0";"0"
"214";"1005-GTE-CF01-GRGE-GEN0005";300000200;"V";"0";"300000200";"0";"0"
"215";"1005-MI1-EPER-EPTL-JUM0005";300000201;"V";"0";"300000201";"0";"0"
"216";"1005-SUP-EAUS-MONT-MON0002";300000202;"V";"0";"300000202";"0";"0"
"217";"1002-SUP-EAUS-MINI-MIN0001";300000203;"V";"0";"300000203";"0";"0"
"218";"1004-SUP-TMAN-TA04";300000204;"V";"0";"300000204";"0";"0"
"219";"2101-SUP-EAPL-RETR";300000205;"V";"0";"300000205";"0";"0"
"220";"2101-SUP-EAPL-COMP";300000206;"V";"0";"300000206";"0";"0"
"221";"2101-SUP-ELIV-AMBU";300000207;"V";"0";"300000207";"0";"0"
"222";"1002-SUP-EAUS-MONT-MON0001";300000208;"V";"0";"300000208";"0";"0"
"223";"1002-SUP-EAUS-MONT-MON0002";300000209;"V";"0";"300000209";"0";"0"
"224";"1002-SUP-ELIV-AMBU";300000210;"V";"0";"300000210";"0";"0"
"225";"1002-SUP-ELIV-CAMI";300000211;"V";"0";"300000211";"0";"0"
"226";"1002-SUP-ELIV-CAMI";300000212;"V";"0";"300000212";"0";"0"
"227";"1002-SUP-ELIV-CAMI";300000213;"V";"0";"300000213";"0";"0"
"228";"1002-SUP-ELIV-CAMI";300000214;"V";"0";"300000214";"0";"0"
"229";"1002-SUP-ELIV-CAMI";300000215;"V";"0";"300000215";"0";"0"
"230";"1002-SUP-ELIV-CAMI";300000216;"V";"0";"300000216";"0";"0"
"231";"1002-SUP-ELIV-CAMI";300000217;"V";"0";"300000217";"0";"0"
"232";"1002-SUP-ELIV-CAMI";300000218;"V";"0";"300000218";"0";"0"
"233";"1002-SUP-ELIV-CAMI";300000219;"V";"0";"300000219";"0";"0"
"234";"";300000220;"V";"0";"300000220";"0";"0"
"235";"1004-MI1-EPER-JUMB-JUM0012";300000221;"V";"0";"300000221";"0";"0"
"236";"1005-GTE-CF01-GRGE-GEN0001";300000222;"V";"0";"300000222";"0";"0"
"237";"1005-GTE-CF01-GRGE-GEN0002";300000223;"V";"0";"300000223";"0";"0"
"238";"1005-GTE-CF01-GRGE-GEN0003";300000224;"V";"0";"300000224";"0";"0"
"239";"1005-GTE-CF01-GRGE-GEN0004";300000225;"V";"0";"300000225";"0";"0"
"240";"1005-SUP-EAUS-ELEV-ELE0002";300000226;"V";"0";"300000226";"0";"0"
"241";"1005-SUP-EAUS-ELEV-ELE0003";300000227;"V";"0";"300000227";"0";"0"
"242";"1001-SUP-ELIV-CAMI-CAM0014";300000228;"V";"0";"300000228";"0";"0"
"243";"1005-GTE-CF01-GRGE-GEN0006";300000229;"V";"0";"300000229";"0";"0"
"244";"1004-MI1-ESOS-DESA-DES0004";300000230;"V";"0";"300000230";"0";"0"
"245";"1004-MI1-ESOS-DESA-DES0005";300000231;"V";"0";"300000231";"0";"0"
"246";"1003-SUP-ELIV-CAMI-CAM3034";300000232;"V";"0";"300000232";"0";"0"
